crime_rate_per_100000,Rent50_0,Median_household_income,State_Code,State,County,RentPercentOfIncome
0.0,713.0,61518.0,AK,Alaska,Aleutians East Borough,13.908124451380083
235.8918527,986.0,84306.0,AK,Alaska,Aleutians West Census Area,14.03458828553128
824.7217146,940.0,78326.0,AK,Alaska,Anchorage Municipality,14.40134821132191
275.93197430000004,1140.0,51012.0,AK,Alaska,Bethel Census Area,26.81721947776994
104.1666667,913.0,79750.0,AK,Alaska,Bristol Bay Borough,13.73793103448276
938.1237525,840.0,54173.0,AK,Alaska,Dillingham Census Area,18.60705517508722
182.2055837,805.0,71068.0,AK,Alaska,Fairbanks North Star Borough,13.592615523160918
154.3209877,670.0,58750.0,AK,Alaska,Haines Borough,13.685106382978724
352.1126761000001,874.0,85746.0,AK,Alaska,Juneau City and Borough,12.231474354488839
167.9878209,832.0,63684.0,AK,Alaska,Kenai Peninsula Borough,15.677407198040324
211.23169930000003,778.0,64222.0,AK,Alaska,Ketchikan Gateway Borough,14.537074522749213
856.0311284,801.0,70887.0,AK,Alaska,Kodiak Island Borough,13.559608955097548
0.0,665.0,50781.0,AK,Alaska,Lake and Peninsula Borough,15.714538902345366
64.08101521,655.0,72983.0,AK,Alaska,Matanuska-Susitna Borough,10.769631283997644
232.5111201,954.0,48868.0,AK,Alaska,Nome Census Area,23.426373086682492
722.6925459,756.0,72576.0,AK,Alaska,North Slope Borough,12.5
1014.964216,1093.0,63648.0,AK,Alaska,Northwest Arctic Borough,20.60708898944193
133.037694,870.0,70376.0,AK,Alaska,Sitka City and Borough,14.834602705467773
0.0,910.0,62670.0,AK,Alaska,Southeast Fairbanks Census Area,17.424605074198183
184.3695585,918.0,78810.0,AK,Alaska,Valdez-Cordova Census Area,13.977921583555386
0.0,764.0,72500.0,AK,Alaska,Yakutat City and Borough,12.645517241379311
0.0,617.0,38491.0,AK,Alaska,Yukon-Koyukuk Census Area,19.235665480242133
251.6019259,602.0,51281.0,AL,Alabama,Autauga County,14.087088785320098
228.086325,770.0,50254.0,AL,Alabama,Baldwin County,18.386596091853384
177.2787709,503.0,32964.0,AL,Alabama,Barbour County,18.310884601383325
217.6616915,666.0,38678.0,AL,Alabama,Bibb County,20.66290914731889
210.8100636,666.0,45813.0,AL,Alabama,Blount County,17.44483007006745
526.3652599,451.0,31938.0,AL,Alabama,Bullock County,16.945331579936127
537.8731803999998,427.0,32229.0,AL,Alabama,Butler County,15.898724751000652
580.7976974,473.0,41703.0,AL,Alabama,Calhoun County,13.610531616430471
562.0279843,467.0,34177.0,AL,Alabama,Chambers County,16.396992129209703
415.9829027,485.0,36296.0,AL,Alabama,Cherokee County,16.03482477407979
354.9407293999999,492.0,41627.0,AL,Alabama,Chilton County,14.18310231340236
96.82705199,526.0,33536.0,AL,Alabama,Choctaw County,18.821564885496183
480.0253898,468.0,32011.0,AL,Alabama,Clarke County,17.54396926056668
430.075634,439.0,35327.0,AL,Alabama,Clay County,14.912106887083535
193.4106976,498.0,38056.0,AL,Alabama,Cleburne County,15.703174269497582
341.591739,505.0,46729.0,AL,Alabama,Coffee County,12.96839221896467
482.3917828,504.0,40576.0,AL,Alabama,Colbert County,14.905362776025235
644.0599053,422.0,24900.0,AL,Alabama,Conecuh County,20.337349397590362
192.6959075,464.0,31212.0,AL,Alabama,Coosa County,17.83929257977701
258.6707491,460.0,36444.0,AL,Alabama,Covington County,15.1465261771485
479.0504791,422.0,36022.0,AL,Alabama,Crenshaw County,14.058075620454167
237.591417,476.0,38971.0,AL,Alabama,Cullman County,14.657052680198095
410.9534119,398.0,45028.0,AL,Alabama,Dale County,10.606733587989696
