fips2000,fips2010,Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,State,cbsasub,areaname,county,CouSub,countyname,county_town_name,pop2010,hu2010,state_alpha
201399999.0,201399999,986,713,852,1237,1352,2,NCNTY02013N02013,"Aleutians East Borough, AK",13.0,99999,Aleutians East Borough,Aleutians East Borough,3141.0,747.0,AK
201699999.0,201699999,1598,986,1226,1983,2465,2,NCNTY02016N02016,"Aleutians West Census Area, AK",16.0,99999,Aleutians West Census Area,Aleutians West Census Area,5561.0,1929.0,AK
202099999.0,202099999,1378,940,1089,2008,2406,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",20.0,99999,Anchorage Municipality,Anchorage Municipality,291826.0,113032.0,AK
205099999.0,205099999,1530,1140,1313,1899,2097,2,NCNTY02050N02050,"Bethel Census Area, AK",50.0,99999,Bethel Census Area,Bethel Census Area,17013.0,5919.0,AK
206099999.0,206099999,1263,913,944,1600,1948,2,NCNTY02060N02060,"Bristol Bay Borough, AK",60.0,99999,Bristol Bay Borough,Bristol Bay Borough,997.0,969.0,AK
206899999.0,206899999,1292,934,1020,1658,1993,2,NCNTY02068N02068,"Denali Borough, AK",68.0,99999,Denali Borough,Denali Borough,1826.0,1771.0,AK
207099999.0,207099999,1161,840,985,1441,1791,2,NCNTY02070N02070,"Dillingham Census Area, AK",70.0,99999,Dillingham Census Area,Dillingham Census Area,4847.0,2427.0,AK
209099999.0,209099999,1305,805,975,1902,2115,2,METRO21820M21820,"Fairbanks, AK MSA",90.0,99999,Fairbanks North Star Borough,Fairbanks North Star Borough,97581.0,41783.0,AK
210099999.0,210099999,927,670,801,1190,1430,2,NCNTY02100N02100,"Haines Borough, AK",100.0,99999,Haines Borough,Haines Borough,2508.0,1631.0,AK
210599999.0,210599999,819,505,647,1096,1123,2,NCNTY02105N02105,"Hoonah-Angoon Census Area, AK",105.0,99999,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,2150.0,1771.0,AK
211099999.0,211099999,1412,874,1055,2001,2178,2,NCNTY02110N02110,"Juneau City and Borough, AK",110.0,99999,Juneau City and Borough,Juneau City and Borough,31275.0,13055.0,AK
212299999.0,212299999,1052,832,837,1340,1768,2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",122.0,99999,Kenai Peninsula Borough,Kenai Peninsula Borough,55400.0,30578.0,AK
213099999.0,213099999,1261,778,1003,1751,2084,2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",130.0,99999,Ketchikan Gateway Borough,Ketchikan Gateway Borough,13477.0,6166.0,AK
215099999.0,215099999,1033,801,893,1505,1680,2,NCNTY02150N02150,"Kodiak Island Borough, AK",150.0,99999,Kodiak Island Borough,Kodiak Island Borough,13592.0,5303.0,AK
216499999.0,216499999,920,665,795,1159,1419,2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",164.0,99999,Lake and Peninsula Borough,Lake and Peninsula Borough,1631.0,1502.0,AK
217099999.0,217099999,1062,655,793,1548,1854,2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",170.0,99999,Matanuska-Susitna Borough,Matanuska-Susitna Borough,88995.0,41329.0,AK
218099999.0,218099999,1547,954,1221,1920,2120,2,NCNTY02180N02180,"Nome Census Area, AK",180.0,99999,Nome Census Area,Nome Census Area,9492.0,4008.0,AK
218599999.0,218599999,1016,756,878,1298,1774,2,NCNTY02185N02185,"North Slope Borough, AK",185.0,99999,North Slope Borough,North Slope Borough,9430.0,2500.0,AK
218899999.0,218899999,1327,1093,1147,1647,1819,2,NCNTY02188N02188,"Northwest Arctic Borough, AK",188.0,99999,Northwest Arctic Borough,Northwest Arctic Borough,7523.0,2707.0,AK
